datetime,closed,motor_position,motor_range,trv_temperature,target_temperature,co2,temperature,humidity
2023-11-01 11:58:49,1.0,,,,,,,
2023-11-01 12:02:26,,532.0,532.0,26.4,20.0,,,
2023-11-01 12:03:50,1.0,,,,,,,
2023-11-01 12:06:03,,,,,,937.0,22.5,41.8
2023-11-01 12:08:49,1.0,,,,,,,
2023-11-01 12:13:49,1.0,,,,,,,
2023-11-01 12:16:06,,532.0,532.0,26.2,25.0,,,
2023-11-01 12:16:08,,,,,,1002.0,22.6,42.19
2023-11-01 12:18:49,1.0,,,,,,,
2023-11-01 12:22:28,,532.0,532.0,26.1,25.0,,,
2023-11-01 12:26:10,,,,,,1129.0,22.6,42.58
2023-11-01 12:28:49,1.0,,,,,,,
2023-11-01 12:32:29,,532.0,532.0,25.5,25.0,,,
2023-11-01 12:33:49,1.0,,,,,,,
2023-11-01 12:36:11,,,,,,1411.0,22.7,43.75
2023-11-01 12:38:49,1.0,,,,,,,
2023-11-01 12:42:30,,532.0,532.0,25.4,25.0,,,
2023-11-01 12:43:49,1.0,,,,,,,
2023-11-01 12:46:20,,,,,,1554.0,22.8,44.14
2023-11-01 12:48:49,1.0,,,,,,,
2023-11-01 12:52:31,,532.0,532.0,25.4,25.0,,,
2023-11-01 12:53:49,1.0,,,,,,,
2023-11-01 12:56:22,,,,,,1507.0,22.8,43.75
2023-11-01 12:58:49,1.0,,,,,,,
2023-11-01 13:02:32,,532.0,532.0,25.2,25.0,,,
2023-11-01 13:03:49,1.0,,,,,,,
2023-11-01 13:06:23,,,,,,1757.0,22.8,45.31
2023-11-01 13:08:52,1.0,,,,,,,
2023-11-01 13:12:33,,532.0,532.0,25.2,25.0,,,
2023-11-01 13:13:49,1.0,,,,,,,
2023-11-01 13:18:49,1.0,,,,,,,
2023-11-01 13:22:34,,532.0,532.0,25.2,25.0,,,
2023-11-01 13:23:49,1.0,,,,,,,
2023-11-01 13:26:34,,,,,,1733.0,22.8,45.7
2023-11-01 13:28:49,1.0,,,,,,,
2023-11-01 13:32:35,,532.0,532.0,25.2,25.0,,,
2023-11-01 13:33:49,1.0,,,,,,,
2023-11-01 13:36:42,,,,,,1952.0,22.9,46.09
2023-11-01 13:38:49,1.0,,,,,,,
2023-11-01 13:42:36,,532.0,532.0,25.2,25.0,,,
2023-11-01 13:43:49,1.0,,,,,,,
2023-11-01 13:46:31,,,,,,1774.0,23.0,46.09
2023-11-01 13:48:49,1.0,,,,,,,
2023-11-01 13:52:37,,532.0,532.0,25.2,25.0,,,
2023-11-01 13:53:49,1.0,,,,,,,
2023-11-01 13:56:43,,,,,,1883.0,23.0,46.48
2023-11-01 13:58:49,1.0,,,,,,,
2023-11-01 14:02:38,,532.0,532.0,25.2,25.0,,,
